Item,Open,Closed,Pending,Resolved,Assigned,WIP,Total
M-Pesa Account Details Update,0,0,0,0,5,0,5
Transaction Pending In Authorized,0,0,0,0,3,0,3
Transaction Reversal – Voucher,0,0,0,0,2,0,2
M-Pesa Agent Account Creation,0,0,0,0,1,0,1
MSISDN reactivation request,0,1,0,0,2,0,3
SolarWorks SMS de Confirmação,0,0,0,0,1,0,1
Voucher Free SMS,0,0,0,0,1,0,1
3G calls,0,0,0,0,1,0,1
Paga Facil Resend PIN,0,1,0,0,1,0,2
Contract - Renewal Approved Request,0,1,1,0,0,0,2
VELABET – Confirmation SMS,0,0,0,0,1,0,1
Retention Request EBU,0,0,0,0,1,0,1
Send Money to Unregistered Customer,0,0,0,0,1,0,1
Eligibility,0,0,0,0,1,0,1
Registration Update Details,0,0,0,0,2,0,2
Notifications,0,0,0,0,1,0,1
Cannot use *160#,0,0,0,0,1,0,1
VuClip - Cancelar Subscrição,0,0,0,0,1,0,1
Txuna Crédito,0,0,0,0,2,0,2
Renewal/ Migration Upgrade-,0,0,1,0,0,0,1
SIM Management/ Gestão de Cartões SIM,0,1,0,0,0,0,1
M-Pesa USSD,0,0,0,0,2,0,2
Main Account - Cobrança Indevida,0,0,0,0,1,0,1
Contract Cancellation Request,0,1,0,0,0,0,1
Due Date debit Queries,0,0,0,0,1,0,1
Comprovativo de registo - WhatsApp,0,0,0,0,1,0,1
Transaction Reversal – Withdraw 1 -1500,0,0,0,0,1,0,1
Callback Service - Question Resolved,0,0,0,0,1,0,1
Difficulty to register,0,0,0,0,1,0,1
Recycle Request,0,0,0,0,3,0,3
Cancelamento de SMS promocionais,0,0,0,0,1,0,1
Partial Reversal- Bank To Mpesa,0,0,0,0,1,0,1
M-pesa  Details Update,0,0,0,0,1,0,1
Golden Number Request Unsuccessful,0,0,0,0,1,0,1
Paga Facil Change Details,0,0,0,0,1,0,1
Frozen Account,0,0,0,0,1,0,1
Bill limit,0,0,0,0,1,0,1
M-pesa Account Transaction,0,0,0,0,1,0,1
Cancelled - Buy Credelec,0,0,0,0,1,0,1
Pay Bill – Pedido de confirmação,0,0,0,0,1,0,1
Limite de envio e recepção de valores,0,0,0,0,1,0,1
